city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Alexandria, VA",9.6,3,15
"Arlington, VA",6.5,2,13
"Auburn, WA",9.6,3,14
"Bellevue, WA",6.9,2,13
"Bellingham, WA",19.7,3,12
"Chesapeake, VA",8,3,14
"Everett, WA",11,4,14
"Federal Way, WA",11.3,4,16
"Green Bay,WI",15.4,5,14
"Hampton, VA",14.4,6,18
"Kennewick, WA",14.1,4,13
"Kenosha,WI",14.8,4,12
"Kent, WA",11.3,4,17
"Kirkland, WA",6.8,2,12
"Layton, UT",7,2,11
"Lynchburg, VA",17.6,5,14
"Madison,WI",16.6,3,12
"Milwaukee,WI",24.1,9,20
"Newport News, VA",15.8,6,18
"Norfolk, VA",17.4,7,19
"Ogden, UT",14.3,3,13
"Orem, UT",10.5,2,13
"Portsmouth, VA",17.2,7,18
"Provo, UT",24.6,3,17
"Racine,WI",19.8,5,13
"Renton, WA",7.9,3,15
"Richmond, VA",19.8,8,17
"Roanoke, VA",18.4,6,15
"Salt Lake City, UT",14.7,4,13
"Sandy, UT",4.1,1,9
"Seattle, WA",10,3,12
"Spokane Valley, WA",10.6,3,11
"Spokane, WA",15.6,3,12
"St. George, UT",10.5,2,11
"Suffolk, VA",9.6,5,15
"Tacoma, WA",12.5,4,14
US,12.8,5,14
Utah,8.6,1,11
"Vancouver, WA",12.7,3,13
Vermont,10.3,3,7
Virginia,10.2,2,8
"Virginia Beach, VA",7.8,3,14
Washington,9.9,2,13
"West Jordan, UT",6.5,2,11
"West Valley City, UT",10.9,4,16
West Virginia,16.8,3,12
Wisconsin,10.8,2,9
Wyoming,11.4,1,13
"Yakima, WA",17.6,5,16
